"Labour force characteristics by gender and detailed age group, monthly, unadjusted for seasonality 1 2"
"Frequency: Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Release date: 2026-02-06"
"Geography: Canada, Province or territory"
""
""

,,,"Labour force characteristics","Employment 6  (x 1,000)","Unemployment rate 7"
"Geography 3","Gender 4 5","Age group","Reference period"
,,,,"Persons in thousands","Percent"
"Newfoundland and Labrador","Total - Gender","15 years and over","January 2016","220.7","16.7"
,,,"February 2016","221.1","16.8"
,,,"March 2016","222.9","15.9"
,,,"April 2016","232.1","15.0"
,,,"May 2016","243.6","11.8"
,,,"June 2016","250.6","10.1"
,,,"July 2016","250.2","11.5"
,,,"August 2016","248.7","11.7"
,,,"September 2016","241.4","12.0"
,,,"October 2016","233.6","13.3"
,,,"November 2016","230.0","14.8"
,,,"December 2016","226.4","15.0"
,,,"January 2017","217.3","16.8"
,,,"February 2017","215.1","16.9"
,,,"March 2017","215.7","18.1"
,,,"April 2017","220.6","17.2"
,,,"May 2017","233.3","14.8"
,,,"June 2017","238.4","13.5"
,,,"July 2017","239.2","13.6"
,,,"August 2017","235.7","13.7"
,,,"September 2017","229.4","13.5"
,,,"October 2017","228.5","13.5"
,,,"November 2017","225.4","15.1"
,,,"December 2017","223.4","15.4"
,,,"January 2018","212.1","17.3"
,,,"February 2018","213.1","16.9"
,,,"March 2018","214.7","16.9"
,,,"April 2018","222.0","16.3"
,,,"May 2018","231.2","14.2"
,,,"June 2018","236.2","13.3"
,,,"July 2018","239.4","13.8"
,,,"August 2018","239.7","13.0"
,,,"September 2018","234.6","11.9"
,,,"October 2018","235.1","10.5"
,,,"November 2018","229.3","12.2"
,,,"December 2018","228.3","12.3"
,,,"January 2019","223.0","13.4"
,,,"February 2019","223.3","13.3"
,,,"March 2019","223.3","13.8"
,,,"April 2019","228.3","13.3"
,,,"May 2019","235.8","12.4"
,,,"June 2019","238.2","12.0"
,,,"July 2019","242.2","11.8"
,,,"August 2019","241.6","11.9"
,,,"September 2019","236.5","9.8"
,,,"October 2019","233.3","10.5"
,,,"November 2019","229.1","11.5"
,,,"December 2019","221.5","12.6"
,,,"January 2020","217.8","13.7"
,,,"February 2020","218.0","13.8"
